author,detail_url,isbn,pages,price,pub_date,publisher,quote,rating,rating_num,series,title
[英]阿加莎·克里斯蒂 / 李杨,https://book.douban.com/subject/26292535/,9787513317153, 220,26.00,2015-2,新星出版社,None,9.2,21657人,,帷幕
鲁迅,https://book.douban.com/subject/1974029/,9787020058358, 302,16.00元,2006-12,人民文学出版社,None,9.6,14094人,,坟
[英] 威尔·贡培兹 / 王烁 / 王同乐,https://book.douban.com/subject/26854318/,9787549586646, 532,65.00元,2017-3,广西师范大学出版社,None,9.1,16587人,,现代艺术150年
龙应台,https://book.douban.com/subject/4207781/,9787108033635, 138,28.00元,2009-12-1,生活·读书·新知三联书店,我们现在怎样做母亲,8.7,82926人,,孩子你慢慢来
孙通海 译注 / 孙通海 译注,https://book.douban.com/subject/2046236/,9787101055207, 389,20.00元,2007-04,中华书局,野马也，尘埃也，生物之以息相吹也,9.4,13611人,,庄子
[日] 伊藤诗织 / 匡匡,https://book.douban.com/subject/30484795/,9787521702224, 223,48.00元,2019-4,雅众文化,None,8.9,26546人,,黑箱：日本之耻
[意] 伊塔洛·卡尔维诺 / 吴正仪,https://book.douban.com/subject/6789551/,9787544722797, 138,22.00元,2012-4,译林出版社,None,8.9,30088人,,不存在的骑士
[日] 芥川龙之介 / 林少华,https://book.douban.com/subject/3136271/,9787532744756, 189,12.00元,2008-7,上海译文出版社,人生，远比地狱更像地狱,8.7,75992人,,罗生门
[英] 劳伦斯·里斯 / 刘爽,https://book.douban.com/subject/26861418/,9787549585489, 324,79.00元,2016-9,广西师范大学出版社,None,9.5,12022人,,奥斯维辛
八月长安,https://book.douban.com/subject/24754316/,9787540462642, 560,55,2013-8-5,湖南文艺出版社,耿耿余淮,8.7,76260人,,最好的我们
刘瑜,https://book.douban.com/subject/4238362/,9787542631664, 339,25.00元,2010-1,上海三联书店,在这本书里，被“审视”的东西杂七杂八,8.6,146668人,,送你一颗子弹
孙立天,https://book.douban.com/subject/36794613/,9787100234245, 400,78,2024-3,商务印书馆,None,9.3,14164人,,康熙的红票
孙武 / 郭化若,https://book.douban.com/subject/1949420/,9787532544400, 175,20.00元,2006-7,上海古籍出版社,我国最古老最杰出的一部兵书,9.4,15417人,,孙子兵法
